feature_set,model,n_features,mse,pearson_r,mse_std,pearson_r_std
ligand_fingerprint_baseline,XGBoost_small,200,0.4355604026705779,0.7740924717575606,0.17403885803909533,0.11162541650145373
ligand_fingerprint_baseline,RandomForest,200,0.5059254788804582,0.7418065615755834,0.16314557233738752,0.11637592800738117
ligand_fingerprint_baseline,ExtraTrees,200,0.5930187946834307,0.7002959568898183,0.17252599111953543,0.12885126374388226
ligand_fp_plus_complex,XGBoost_small,201,0.4630986125795189,0.756813206300316,0.2203128478868132,0.18588789919222512
ligand_fp_plus_complex,RandomForest,201,0.5077038049354008,0.7288723564216553,0.2392610423590461,0.17112004939960263
ligand_fp_plus_complex,ExtraTrees,201,0.587238943911543,0.6893276281995926,0.21501651548689346,0.15608036607354694
ligand_fp_complex_plus_physchem,XGBoost_small,209,0.4422837547970602,0.7723158311546221,0.2623214763542817,0.18802010218918358
ligand_fp_complex_plus_physchem,RandomForest,209,0.4201388534663999,0.7825305083275338,0.21759825650136286,0.18859425147677247
ligand_fp_complex_plus_physchem,ExtraTrees,209,0.4064428940018427,0.7925166838476129,0.21874435148346738,0.19809541847132525
whole_ligand_energy_core,XGBoost_small,210,0.2964817875818168,0.8541243022519679,0.11773300443364915,0.08583034140666525
whole_ligand_energy_core,RandomForest,210,0.259862535411342,0.871839615930467,0.06281739421346098,0.046036474635877095
whole_ligand_energy_core,ExtraTrees,210,0.30309529395283985,0.8491385113945493,0.08745893494388786,0.09571378753844123
fragment_informed_final,XGBoost_small,251,0.22220676948663926,0.8923883604250286,0.0603878438171936,0.034161401342310306
fragment_informed_final,RandomForest,251,0.2357508077177221,0.8899560320366566,0.07372279335575313,0.0389323094721174
fragment_informed_final,ExtraTrees,251,0.2340874844019076,0.8914833982368847,0.06842985306681708,0.0455359871337899
