top_fraction,subset_label,fold,n_train,n_test,pearson_r,mse,rmse
1.0,Top 100%,1,88,22,0.8960022729386437,0.405965889475171,0.6371545255863533
1.0,Top 100%,2,88,22,0.8203291417141313,0.2340395852512021,0.48377637938535417
1.0,Top 100%,3,88,22,0.9323405519566361,0.23295101446946498,0.48264999168078826
1.0,Top 100%,4,88,22,0.877838325520951,0.29621275981241324,0.5442543153824444
1.0,Top 100%,5,88,22,0.9225629573511838,0.4602963377728304,0.6784514262442304
0.75,Top 75%,1,66,17,0.9002491870203546,0.27489789441415813,0.5243070611904422
0.75,Top 75%,2,66,17,0.7544321643900348,0.29724918818171053,0.5452056384353619
0.75,Top 75%,3,66,17,0.8477686057012163,0.2824864470394417,0.531494540930988
0.75,Top 75%,4,67,16,0.8417971535546452,0.20008123914851933,0.4473044144075926
0.75,Top 75%,5,67,16,0.9497270983590063,0.22934974467584907,0.47890473444710174
0.5,Top 50%,1,44,11,0.5846544477243374,0.17833230974399145,0.42229410337345635
0.5,Top 50%,2,44,11,0.6536922083999699,0.38085191076129343,0.6171320043242722
0.5,Top 50%,3,44,11,0.9618824384059395,0.19851974427636143,0.44555554566895633
0.5,Top 50%,4,44,11,0.8756037878961279,0.4033556650982462,0.6351028775704344
0.5,Top 50%,5,44,11,0.7163669645546068,0.15604395832455292,0.3950239971502401
0.25,Top 25%,1,22,6,0.8871672336568185,0.2989633004671219,0.5467753656366771
0.25,Top 25%,2,22,6,0.9135950591516492,0.1713889975012982,0.4139915427895819
0.25,Top 25%,3,22,6,0.6862896870930147,0.4481765699774585,0.6694599091636918
0.25,Top 25%,4,23,5,0.48709448688423906,0.15177958802717856,0.3895889988528662
0.25,Top 25%,5,23,5,0.4639546363962252,0.10140018294268245,0.31843395381567347
