system_low,system_high,idx_low,ligand_low,y_low,idx_high,ligand_high,y_high,delta_y_true,changed_slot,changed_rank_in_low_sample,fixed_slots,low_fragment_smiles,high_fragment_smiles,low_share_changed,high_share_changed,delta_share_changed,low_f1_share,low_f2_share,low_f3_share,low_whole_share,high_whole_share,low_other_share,high_other_share
P03366,P03366,758,1ebw_ligand_b277_758_dock.mol2,2.314258261,759,1ebw_ligand_b408_759_dock.mol2,2.772113295,0.45785503400000005,f1,highest,f2/f3,CCCO[C@@H](C=O)[C@H](O)[C@@H](O)[C@H](C=O)OCCC,O=C[C@H](OCc1ccc(Br)cc1)[C@H](O)[C@@H](O)[C@H](C=O)OCc1ccc(Br)cc1,0.08094508200883865,0.09331025928258896,0.012365177273750305,0.08094508200883865,0.0388951450586319,0.05132757127285004,0.06906390190124512,0.47509387135505676,0.7597683072090149,0.36067426204681396
P03366,P03366,766,1ebw_ligand_b365_766_dock.mol2,1.510041521,767,1ebw_ligand_b347_767_dock.mol2,1.568636236,0.05859471499999991,f1,highest,f2/f3,O=C[C@H](OCc1ccccc1)[C@H](O)C[C@H](C=O)OCc1ccccc1,O=C[C@H](OCc1ccccc1)[C@@H](O)[C@H](O)[C@H](C=O)OCc1ccccc1,0.11620782315731049,0.05023676156997681,-0.06597106158733368,0.11620782315731049,0.02982022985816002,0.017512541264295578,0.3609670400619507,0.5581859946250916,0.47549232840538025,0.33171841502189636
P03366,P03366,774,1g2k_ligand_a045_774_dock.mol2,0.580044252,773,1g2k_ligand_native_773.mol2,1.156767222,0.5767229700000001,f2,middle,f1/f3,CNC(=O)c1cccc(CN2C[C@H](O)[C@@H](O)CN(Cc3cccc(C(=O)NC)c3)S2(=O)=O)c1,CNC(=O)c1cccc(CN2C[C@H](O)[C@@H](O)CN(Cc3ccccc3)S2(=O)=O)c1,0.052581463009119034,0.06663139164447784,0.01404992863535881,0.057320114225149155,0.052581463009119034,0.017964130267500877,0.5045915246009827,0.202505961060524,0.36754268407821655,0.5882341265678406
P03366,P03366,774,1g2k_ligand_a045_774_dock.mol2,0.580044252,775,1g35_ligand_native_775.mol2,1.164309429,0.584265177,f2,middle,f1/f3,CNC(=O)c1cccc(CN2C[C@H](O)[C@@H](O)CN(Cc3cccc(C(=O)NC)c3)S2(=O)=O)c1,COC(=O)c1ccc(CN2C[C@H](O)[C@@H](O)CN(Cc3ccc(CO)cc3)S2(=O)=O)cc1,0.052581463009119034,0.03545335680246353,-0.017128106206655502,0.057320114225149155,0.052581463009119034,0.017964130267500877,0.5045915246009827,0.24508820474147797,0.36754268407821655,0.5994716286659241
P03366,P03366,773,1g2k_ligand_native_773.mol2,1.156767222,775,1g35_ligand_native_775.mol2,1.164309429,0.0075422069999999675,f2,middle,f1/f3,CNC(=O)c1cccc(CN2C[C@H](O)[C@@H](O)CN(Cc3ccccc3)S2(=O)=O)c1,COC(=O)c1ccc(CN2C[C@H](O)[C@@H](O)CN(Cc3ccc(CO)cc3)S2(=O)=O)cc1,0.06663139164447784,0.03545335680246353,-0.031178034842014313,0.11717232316732407,0.06663139164447784,0.025456223636865616,0.202505961060524,0.24508820474147797,0.5882341265678406,0.5994716286659241
P29274,P29274,807,3uzc_ligand_10_dock,1.369572125,809,3uzc_ligand_12_dock,1.93930216,0.5697300350000001,f1,highest,f2/f3,Fc1ccccc1,c1ccccc1,0.05822749808430672,0.04537077620625496,-0.012856721878051758,0.05822749808430672,0.04878360405564308,0.028351690620183945,0.5255330801010132,0.36228522658348083,0.33910423517227173,0.5536438226699829
P29274,P29274,805,3uzc_ligand_8_dock,1.053547735,807,3uzc_ligand_10_dock,1.369572125,0.31602438999999993,f1,highest,f2/f3,Fc1cccc(F)c1,Fc1ccccc1,0.04674229398369789,0.05822749808430672,0.011485204100608826,0.04674229398369789,0.024048395454883575,0.02157752588391304,0.3446184992790222,0.5255330801010132,0.5630133748054504,0.33910423517227173
P29274,P29274,807,3uzc_ligand_10_dock,1.369572125,806,3uzc_ligand_9_dock,1.388276692,0.018704567000000116,f2,middle,f1/f3,Cc1cccc(C)n1,Cc1cccc(C(F)(F)F)n1,0.04878360405564308,0.05090571939945221,0.002122115343809128,0.05822749808430672,0.04878360405564308,0.028351690620183945,0.5255330801010132,0.4372725486755371,0.33910423517227173,0.44999152421951294
P29274,P29274,808,3uzc_ligand_11_dock,0.93930216,809,3uzc_ligand_12_dock,1.93930216,1.0,f1,highest,f2/f3,Fc1ccccc1,c1ccccc1,0.04182774946093559,0.04537077620625496,0.0035430267453193665,0.04182774946093559,0.02612880803644657,0.015435457229614258,0.4760778248310089,0.36228522658348083,0.44053009152412415,0.5536438226699829
P29274,P29274,808,3uzc_ligand_11_dock,0.93930216,805,3uzc_ligand_8_dock,1.053547735,0.11424557499999999,f1,highest,f2/f3,Fc1ccccc1,Fc1cccc(F)c1,0.04182774946093559,0.04674229398369789,0.004914544522762299,0.04182774946093559,0.02612880803644657,0.015435457229614258,0.4760778248310089,0.3446184992790222,0.44053009152412415,0.5630133748054504
P29274,P29274,808,3uzc_ligand_11_dock,0.93930216,806,3uzc_ligand_9_dock,1.388276692,0.44897453200000004,f2,middle,f1/f3,Cc1cccc(C)n1,Cc1cccc(C(F)(F)F)n1,0.02612880803644657,0.05090571939945221,0.024776911363005638,0.04182774946093559,0.02612880803644657,0.015435457229614258,0.4760778248310089,0.4372725486755371,0.44053009152412415,0.44999152421951294
P29274,P29274,810,3uzc_ligand_14_dock,0.774690718,809,3uzc_ligand_12_dock,1.93930216,1.164611442,f2,middle,f1/f3,Clc1ccccc1,Cc1cccc(C)n1,0.040506914258003235,0.022044217213988304,-0.01846269704401493,0.06176790967583656,0.040506914258003235,0.022610340267419815,0.4438072443008423,0.36228522658348083,0.4313076138496399,0.5536438226699829
P29274,P29274,805,3uzc_ligand_8_dock,1.053547735,809,3uzc_ligand_12_dock,1.93930216,0.885754425,f1,highest,f2/f3,Fc1cccc(F)c1,c1ccccc1,0.04674229398369789,0.04537077620625496,-0.0013715177774429321,0.04674229398369789,0.024048395454883575,0.02157752588391304,0.3446184992790222,0.36228522658348083,0.5630133748054504,0.5536438226699829
P29274,P29274,809,3uzc_ligand_12_dock,1.93930216,804,3uzc_ligand_native_7,2.995678626,1.0563764660000001,f2,middle,f1/f3,Cc1cccc(C)n1,Oc1ccccc1Cl,0.022044217213988304,0.05570877715945244,0.03366456180810928,0.04537077620625496,0.022044217213988304,0.016655970364809036,0.36228522658348083,0.5080071687698364,0.5536438226699829,0.3698895275592804
P29274,P29274,810,3uzc_ligand_14_dock,0.774690718,804,3uzc_ligand_native_7,2.995678626,2.220987908,f2,middle,f1/f3,Clc1ccccc1,Oc1ccccc1Cl,0.040506914258003235,0.05570877715945244,0.015201862901449203,0.06176790967583656,0.040506914258003235,0.022610340267419815,0.4438072443008423,0.5080071687698364,0.4313076138496399,0.3698895275592804
P49336,P49336,234,4f7n_ligand_10_234_dock.mol2,2.617982957,233,4f7n_ligand_native_233.mol2,3.537602002,0.9196190449999997,f1,middle,f2/f3,NC(=O)NCCCCO,NC(=O)NCCCCCO,0.03542351722717285,0.027457382529973984,-0.007966134697198868,0.03542351722717285,0.04360894858837128,0.018446628004312515,0.3839026689529419,0.4783690869808197,0.5186182260513306,0.42698079347610474
P07900,P07900,512,5j27_ligand_16_512_dock.mol2,1.853871964,519,5j27_ligand_23_519_dock.mol2,2.017728767,0.16385680299999983,f1,middle,f2/f3,O=c1[nH]ncn1-c1ccccc1F,O=c1[nH]ncn1-c1ccccc1Cl,0.05285857245326042,0.05523955821990967,0.002380985766649246,0.05285857245326042,0.06075745075941086,0.028877966105937958,0.12304264307022095,0.1227448508143425,0.7344633340835571,0.7028513550758362
P07900,P07900,512,5j27_ligand_16_512_dock.mol2,1.853871964,511,5j27_ligand_native_511.mol2,2.193820026,0.33994806199999994,f2,highest,f1/f3,CNC(C)C,CCCNC,0.06075745075941086,0.07478218525648117,0.014024734497070312,0.05285857245326042,0.06075745075941086,0.028877966105937958,0.12304264307022095,0.1510365903377533,0.7344633340835571,0.6400184631347656
P07900,P07900,511,5j27_ligand_native_511.mol2,2.193820026,533,5j9x_ligand_34_533_dock.mol2,2.37675071,0.182930684,f3,lowest,f1/f2,O=[SH](=O)c1ccc(O)cc1O,O=Cc1ccc(O)cc1O,0.06157125160098076,0.06322968751192093,0.0016584359109401703,0.07259149104356766,0.07478218525648117,0.06157125160098076,0.1510365903377533,0.30366694927215576,0.6400184631347656,0.5666535496711731
P07900,P07900,531,5j64_ligand_32_531_dock.mol2,0.920818754,532,5j64_ligand_33_532_dock.mol2,1.148741651,0.2279228969999999,f3,lowest,f1/f2,Clc1ccccc1,CCc1ccccc1,0.02390097640454769,0.014383100904524326,-0.009517875500023365,0.0458737388253212,0.029014762490987778,0.02390097640454769,0.5897335410118103,0.47412699460983276,0.3114769756793976,0.4370954632759094
P07900,P07900,523,5j86_ligand_27_523_dock.mol2,2.920818754,521,5j86_ligand_25_521_dock.mol2,2.958607315,0.037788561000000165,f1,highest,f2/f3,CNCc1cccc(C)c1,CNCc1ccccc1,0.030226580798625946,0.0336916521191597,0.0034650713205337524,0.030226580798625946,0.018689926713705063,0.022950341925024986,0.29898524284362793,0.15071558952331543,0.6291478276252747,0.7140774726867676
P07900,P07900,524,5j86_ligand_28_524_dock.mol2,2.337242168,521,5j86_ligand_25_521_dock.mol2,2.958607315,0.6213651470000001,f1,highest,f2/f3,CNCc1ccco1,CNCc1ccccc1,0.05202441290020943,0.0336916521191597,-0.01833276078104973,0.05202441290020943,0.03201896324753761,0.03911441192030907,0.34750375151634216,0.15071558952331543,0.5293384790420532,0.7140774726867676
